Word 		 frequency
ahabs			75
ahabshudder			1
ahabso			1
ahabtheres			1
ahabthough			1
ahabtouch			1
ahasuerus			2
ahazdial			1
ahead			25
aheadmoby			1
ahi			1
ahoy			7
ahthe			1
aid			1
aides			1
ails			1
aim			3
aimed			1
aimlessly			1
aint			23
air			133
airas			1
airbut			1
aireddy			1
airfreighted			1
airhow			1
airley			1
airsharks			1
airth			2
aisle			1
ajar			1
ak			1
akin			4
alabama			6
aladdins			1
alarm			8
alarmed			7
alarms			2
alas			10
alb			1
albatross			9
albatrosses			1
albemarle			1
albert			1
albicore			1
albino			3
alcoves			1
aldermen			1
aldrovandi			1
aldrovandus			1
ale			4
aleak			1
alee			1
alert			2
alewives			1
alexander			3
alexanders			1
alfred			1
algerine			2
algiers			1
alien			5
aliens			1
alights			1
alike			10
alikefor			1
aliment			1
alive			23
alivearies			1
all			1482
allabounding			1
alland			1
allay			1
allaying			1
allbut			1
allcolour			1
allcontributed			1
allcontrolling			1
alldeclared			1
alldestroying			1
alleged			4
alleghanian			1
alleghanies			1
allegiance			1
allegorical			1
allegory			1
allengrossing			1
alley			1
alleys			1
allfired			1
allgrasping			2
allies			4
alllook			1
allotted			1
allow			4
allowance			2
allowances			1
allowed			6
allowing			2
allpervading			2
allpresbyterians			1
allquickening			1
allramifying			1
allreceptive			1
allseeing			1
allseemed			1
allthe			2
alltheres			1
allude			2
alluded			6
alluding			2
allured			3
allurements			1
allures			2
alluring			2
alluringly			1
allurings			1
allusion			5
allusions			6
allwere			1
allwhy			1
almanac			2
almanack			1
almighty			2
almightys			1
almost			193
alms			2
aloft			54
aloftgods			1
aloftthats			1
aloftthunder			1
alone			41
along			110
alongside			27
aloof			1
aloud			2
aloudmasthead			1
alow			4
alpacas			1
alpine			1
alps			3
already			33
also			90
altar			4
alter			2
alteration			1
altered			3
altering			4
alternate			2
alternately			3
alternating			4
although			2
altitude			2
altitudehow			1
altitudes			2
altogether			27
always			80
am			86
amain			1
amaze			1
amazement			6
amazing			6
amazingly			2
amber			5
ambergriese			1
ambergris			13
ambiguous			3
ambition			3
ambitious			3
ambut			1
amelia			1
amelias			1
amen			1
amend			1
america			11
american			33
americans			6
americas			1
amid			16
amidst			1
amittai			1
among			163
amongst			1
amorous			1
amosti			1
amount			6
amounts			1
amours			2
amphibious			1
amphitheatrical			1
ample			3
amplified			2
amplify			1
amputate			1
amputated			1
amputating			1
amputation			1
amputationsbut			1
amsterdam			3
amuck			1
amusing			1
an			587
anacharsis			1
anaconda			2
anacondas			1
anak			1
analogical			1
analogies			1
analogous			2
analogy			2
